hour,bus_0_pu,bus_1_pu,bus_2_pu,bus_3_pu,bus_4_pu,bus_5_pu,bus_6_pu,bus_7_pu,bus_8_pu,bus_9_pu,bus_10_pu,bus_11_pu,bus_12_pu,bus_13_pu,bus_14_pu,bus_15_pu,bus_16_pu,bus_17_pu,bus_18_pu,bus_19_pu,bus_20_pu,bus_21_pu,bus_22_pu,bus_23_pu,bus_24_pu,bus_25_pu,bus_26_pu,bus_27_pu,bus_28_pu,bus_29_pu,bus_30_pu,bus_31_pu,bus_32_pu
0,1.0,0.9982001284145396,0.9896733700670419,0.9851715098534568,0.980724865207887,0.969671316191192,0.9675778230380828,0.9646673593118008,0.9609103838424407,0.9574272798947923,0.9569122012124852,0.9560144148305959,0.9523582204811379,0.9510030661340794,0.9501590835990554,0.9493417738536644,0.9481310009895493,0.9477683942467009,0.9978734501859708,0.9956622753195904,0.9952268832211401,0.9948329888265173,0.9874754401772874,0.9833875434428893,0.9813513168110568,0.9685143859663743,0.9669777435226792,0.9601216519317907,0.9551974414764637,0.9530666452810407,0.9505767845473094,0.9500290694937656,0.9498593721681278
1,1.0,0.9983199534127587,0.9903628394644224,0.9861639785698969,0.9820170310261173,0.9717092024746327,0.9697569731824829,0.9670428102529064,0.9635401064889466,0.9602928957060619,0.959812705893819,0.9589757629249902,0.9555676832010598,0.9543045435286415,0.9535178990845271,0.9527561283626784,0.9516276726987766,0.9512897158718424,0.9980144391497833,0.9959465933466275,0.9955394268779273,0.9951710716576875,0.98830911017578,0.9844895345785416,0.9825870796186285,0.9706305056389112,0.9691978438174771,0.9628057308223879,0.9582148654190823,0.9562283842546729,0.9539073899006473,0.9533968247078508,0.9532386385593258
2,1.0,0.9984094601544078,0.9908776695527993,0.9869048239104509,0.9829813887472785,0.9732296443100538,0.9713827529486411,0.9688149766109843,0.9655018039326525,0.9624304096258486,0.9619762227609645,0.9611846237294962,0.9579614201811265,0.9567668376990117,0.9560229108677643,0.9553025161375707,0.9542353818566468,0.953915788011931,0.9981198107462328,0.9961593997041582,0.9957733899319008,0.9954241774151722,0.9889318641474707,0.9853130962018781,0.9835107429894369,0.9722092683687868,0.9708541144393408,0.9648078499172699,0.9604654487696589,0.958586528238233,0.9563913700910838,0.9559084880176238,0.9557588795910003
3,1.0,0.9984689612251437,0.9912198222230275,0.9873970740891367,0.9836220556043538,0.9742395292163367,0.9724625768833309,0.9699919978495805,0.9668046291541621,0.9638499283203222,0.9634129999754241,0.9626514948825398,0.9595509749003541,0.9584018844612602,0.9576863019958901,0.956993360823,0.9559669122469783,0.9556595020586961,0.9981898845335537,0.9963010672195179,0.9959291559659905,0.9955926997086929,0.9893458589710465,0.9858607580147013,0.9841250319985474,0.9732578677252863,0.9719541616928413,0.9661374610878118,0.9619599782914214,0.9601524479580492,0.9580407991245152,0.9575762884017547,0.9574323723575907
4,1.0,0.9984986611832399,0.991390581184303,0.9876427096542885,0.9839417237289055,0.9747433592857994,0.9730012914126824,0.9705791940343652,0.9674545639442759,0.9645580561443523,0.9641297342564551,0.9633832359356157,0.960343889309265,0.9592174817229477,0.958516031644074,0.9578367785250106,0.9568306148479997,0.9565292791709714,0.9982248696965454,0.9963718404315256,0.9960069766574774,0.9956768968705225,0.9895525070336553,0.9861341784359278,0.9844317339844693,0.9737810056650136,0.9725029570351054,0.9668007408395045,0.9627055020292615,0.9609335726764691,0.9588635652133293,0.9584082152033323,0.9582671376003501
5,1.0,0.9984392275984576,0.9910488519925842,0.98715111266951,0.9833019446253777,0.9737349587163887,0.9719230653113615,0.9694039267491206,0.9661537107045899,0.9631407145393454,0.9626951645608491,0.9619186259427852,0.9587568205114264,0.9575850051793904,0.956855263842436,0.9561486088439339,0.9551018368006637,0.9547883405765973,0.9981548649333266,0.9962302536956857,0.9958512937765073,0.9955084599430054,0.9891389783395419,0.9855870643001264,0.9838180353810153,0.9727339565057341,0.9714045487798794,0.9654731657267112,0.9612132957221625,0.9593701017671281,0.9572167361668407,0.9567430481178086,0.9565962884745349
6,1.0,0.9982601103842147,0.9900185407863036,0.9856684172195488,0.9813718631564711,0.9706917900616111,0.9686690459696318,0.965856893752637,0.9622272793890271,0.9588623339796312,0.9583647311795939,0.9574974219503678,0.9539655173519593,0.9526564575393397,0.9518411989970831,0.9510517122365039,0.9498821780138832,0.9495319201449807,0.9979440156879286,0.9958045171909109,0.9953832402975021,0.9950021177182775,0.9878927545293941,0.9839391012163183,0.9819698038383816,0.9695740445505603,0.9680894841478584,0.9614657920297314,0.9567085507786348,0.9546500418840146,0.9522447706439275,0.9517156649634438,0.9515517339200901
7,1.0,0.9980193361275805,0.9886325452028535,0.9836725845058741,0.9787727157498427,0.9665912279921595,0.9642840587481809,0.9610766951094788,0.9569348868494619,0.953094719790249,0.9525268295503186,0.9515369347518433,0.9475050325046334,0.946010529531005,0.9450797038117925,0.944178271881683,0.9428428051983705,0.9424428596498154,0.9976608886367512,0.9952345420900296,0.994756775590018,0.9943245389141451,0.9862176601133876,0.9817260306198965,0.9794884908487324,0.965315913523603,0.9636219053770204,0.95606360898204,0.9506348695795773,0.9482856271268905,0.945540089291413,0.9449361255322852,0.9447489987739122
8,1.0,0.9978067697244251,0.9874079406645979,0.9819079118458951,0.9764735430636821,0.9629615256669926,0.9604022899095028,0.9568447225532212,0.9522485932409516,0.9479868172552144,0.9473565664015584,0.946257894154185,0.9417821387186539,0.9401229881813601,0.9390895379789783,0.9380886909805517,0.9366058428872814,0.9361617661395629,0.9974112224998326,0.994733570525656,0.9942063123464528,0.9937292918541712,0.9847389346272352,0.9797743589630854,0.9773009451361454,0.9615464816215888,0.9596667021317097,0.951279427035758,0.9452550246539977,0.9426478451474465,0.9396003016585628,0.9389298955890815,0.9387221802529054
9,1.0,0.9976538229976366,0.986526230791172,0.9806366216104501,0.9748165667431303,0.9603442455039313,0.957603073996011,0.9537927641703282,0.948868479596487,0.9443021271292317,0.943626824420825,0.9424495569423129,0.93765299867346,0.9358748296228757,0.9347671852749956,0.9336944602810192,0.9321050410271001,0.9316290539789088,0.9972317523255325,0.9943744160433463,0.9938117702361428,0.9933027273479877,0.9836750359099768,0.9783713529985951,0.975728782278255,0.958828296262647,0.9568143410703958,0.9478283112721048,0.9413736406654442,0.9385801219929665,0.9353143298665322,0.934595907385275,0.9343733127777752
10,1.0,0.9975615987682359,0.9859943399152145,0.979869415972604,0.9738163486345033,0.9587637708317521,0.9559126627865857,0.9519496415174711,0.9468269682287795,0.9420764615329336,0.9413739187221586,0.9401491254089349,0.9351585374327156,0.9333083761258592,0.9321558488165131,0.9310396402753779,0.9293857439846566,0.9288904511187676,0.9971236045147147,0.9941583850569226,0.9935744920174274,0.9930462220318618,0.983033558663477,0.9775258892588659,0.9747815506852439,0.9571868273520776,0.9550917579964779,0.9457437529484168,0.939028951536854,0.936122767103152,0.9327249855964276,0.9319775240274603,0.9317459306741295
11,1.0,0.9974999227695219,0.9856385326826904,0.9793560680995939,0.973146980382308,0.9577058372746182,0.9547811095476044,0.9507158286652113,0.9454602617006519,0.9405863879104595,0.939865596346831,0.9386089626714139,0.9334883644114522,0.9315899615309129,0.9304073566344891,0.9292620075700418,0.9275648996576351,0.9270566684513606,0.9970513088149076,0.9940141368751185,0.9934160728837815,0.9928749791196224,0.9826045790738116,0.9769606991990991,0.9741484003313804,0.9560880396060653,0.9539386358887502,0.9443481590129739,0.9374591012878669,0.9344774404666276,0.9309912245234359,0.9302243062585714,0.929986683526156
12,1.0,0.9974690262453698,0.9854602614622566,0.9790988252160171,0.972811521527646,0.9571755719585658,0.9542139347416266,0.9500973870127075,0.9447751807502345,0.9398394421374533,0.9391094992957446,0.9378368979717677,0.9326510951850799,0.9307284966493485,0.929530805737352,0.9283708404382125,0.9266520578439288,0.9261373368926025,0.9970151012431615,0.9939419439312088,0.9933367926205006,0.9927892852489264,0.9823896870588132,0.9766776357564723,0.9738313220394411,0.9555372891601209,0.9533606399356248,0.943648576838319,0.9366721374564725,0.9336526274589224,0.9301220603476489,0.9293453842137808,0.9291047376247236
13,1.0,0.9974690262453698,0.9854602614622566,0.9790988252160171,0.972811521527646,0.9571755719585658,0.9542139347416266,0.9500973870127075,0.9447751807502345,0.9398394421374533,0.9391094992957446,0.9378368979717677,0.9326510951850799,0.9307284966493485,0.929530805737352,0.9283708404382125,0.9266520578439288,0.9261373368926025,0.9970151012431615,0.9939419439312088,0.9933367926205006,0.9927892852489264,0.9823896870588132,0.9766776357564723,0.9738313220394411,0.9555372891601209,0.9533606399356248,0.943648576838319,0.9366721374564725,0.9336526274589224,0.9301220603476489,0.9293453842137808,0.9291047376247236
14,1.0,0.9974380904470058,0.9852817435435705,0.9788412004562645,0.9724755426332718,0.9566444349004869,0.9536458212861186,0.9494779146986458,0.9440889398832815,0.939091214697726,0.9383521025097099,0.9370635016547677,0.9318123604058242,0.9298655159198472,0.9286527072677935,0.9274780948478846,0.9257375912999378,0.9252163667802402,0.9969788535978238,0.9938697048165362,0.993257464955536,0.99270354282933,0.9821745251860614,0.9763942581704348,0.9735139063863117,0.9549856279990061,0.9527816806657837,0.9429477960885443,0.9358838048006475,0.93282637108819,0.9292513628337585,0.9284649090012206,0.9282212323978096
15,1.0,0.9973323353082638,0.9846796251565869,0.9779523836086804,0.9713015101996001,0.9548103998621706,0.9516995840824968,0.947309443074395,0.9416280511181634,0.9363610776768,0.9355795039248482,0.9342185256443453,0.92869858295082,0.9266600818196046,0.9253802545764314,0.9241414478304967,0.9223165237698377,0.9217706200612872,0.9968535080840543,0.9936106225139215,0.9929729926058408,0.9923965292038932,0.9814793762274087,0.9755358475488801,0.972574005498913,0.9530853061602573,0.9507955336010568,0.9406141894606981,0.9333080898402012,0.9301415052012018,0.9264304281692307,0.9256143650840752,0.925359348376102
16,1.0,0.9970620578734977,0.983151677326561,0.9756661071866789,0.9682589197010475,0.9500865128594189,0.9467079699717597,0.9416788087940987,0.9351516155765438,0.9291084368131992,0.9282014178458855,0.9266284371286142,0.9203506414208076,0.9180636493362155,0.9165889258857326,0.9151642772489081,0.9131073789117994,0.9124944509201203,0.996531377221349,0.9929331347879172,0.9922293233937456,0.9915947124321328,0.9797621011101598,0.9735059011258567,0.9703879318609298,0.9481975762501335,0.9456992802784865,0.9347305280964667,0.9268892080185784,0.9234734943492395,0.919437439781045,0.9185512055005121,0.9182657014774688
17,1.0,0.9963358644207925,0.9790525825963948,0.969481448930383,0.9599904770478334,0.9372697281044939,0.9331826284841176,0.9263200444918057,0.9173526352965612,0.909073486222867,0.9078016603960559,0.9056139488666403,0.8971708257482621,0.8941861783730212,0.8921470492890828,0.8901852484695048,0.8874729943136641,0.8866718517005715,0.9956659554044519,0.9911116604907264,0.9902315261956457,0.9894428171213382,0.9752285219752399,0.9682885698797506,0.9648290414349552,0.9349476946269094,0.9319030922895922,0.9189527396182424,0.909785658326895,0.9057401456741672,0.9008593638979835,0.8997915873559097,0.8994217556064448
18,1.0,0.9956467981231507,0.975156540055956,0.9635670335705623,0.9520561750827035,0.9249602184109847,0.9201877047949122,0.9115022340498097,0.9000928557126966,0.8895782345976795,0.8879403768277988,0.8851362388094229,0.8745330080304569,0.8708582968279486,0.8682523333087497,0.8657515913908356,0.862389113956007,0.8614019575661171,0.9948477094975172,0.989405289264819,0.9883623241743733,0.9874317532822038,0.9709674374476338,0.9634741397527133,0.9597380962819384,0.9222309599752102,0.9186750505068413,0.9039130495338867,0.8935463617604222,0.8889235211700494,0.8832543666047638,0.8820176907094919,0.8815663193543183
19,1.0,0.9953148521319897,0.9732873554460743,0.9606890812230975,0.948166331284524,0.9189500321513803,0.9138581126461929,0.9041994570893058,0.8914767947418364,0.8797631694894821,0.8779263108376034,0.8747884798469153,0.8630416988668203,0.8590117778246883,0.8560997867413929,0.8533089390716947,0.8496086443641752,0.8485258048153439,0.9944530233611525,0.9885778317540015,0.9874569292635084,0.9864591372569056,0.9689826733028043,0.9613503385588907,0.9575447377639622,0.9160326782971863,0.9122450810799368,0.8967362063535378,0.8858959880806516,0.8810329247177393,0.8750139112840774,0.8737030777932404,0.8732108638579706
20,1.0,0.9955388264388114,0.974569740876929,0.9626088674050691,0.9507231827807726,0.9229591378190307,0.9181176258153463,0.9089891680597171,0.896977032119675,0.8859164048740596,0.884183718789826,0.8812230903676133,0.8701245872906442,0.8663109635466396,0.8635638488713514,0.8609305156615653,0.8574312071999519,0.8564065650596668,0.9947158403021644,0.9891065329617951,0.9880355484103032,0.9870818258886087,0.9704290556051377,0.9630763899521295,0.9594104857333703,0.9201812479146847,0.9165729438024925,0.9017653266862905,0.8914074526928226,0.8867658756804736,0.8810311051492137,0.8797818059457404,0.8793149575088967
21,1.0,0.9963311059206781,0.9790661324329901,0.9693992302929931,0.959807541483248,0.9370956203751951,0.9330719159494744,0.9259593120620218,0.9166465455089718,0.9080594452321997,0.9067285522973464,0.9044465633325085,0.8957570808515972,0.892723480656812,0.8906023269365791,0.8885649780934679,0.8857971722893165,0.884982596189481,0.9956534777711417,0.9910419886812698,0.9901553927082645,0.9893630299451005,0.9754021232212734,0.9688101494668229,0.9655242366088291,0.9347928919550892,0.9317860042602223,0.9191863751562516,0.9103112569093417,0.9063705564983459,0.9015710684912592,0.9005228887700923,0.9001480362973637
22,1.0,0.9972161468234956,0.984083293325091,0.9769130706653649,0.9698126209772123,0.9526582793513267,0.9495368438434569,0.9445331203349554,0.9380220843600682,0.9320055844928267,0.9310893656729838,0.9295089402250687,0.9233352487579872,0.9211275782075108,0.9196528784483659,0.9182319848342783,0.9162347688015493,0.9156427174076186,0.9967044298237746,0.9932297748623791,0.9925550644031429,0.9919489700225707,0.9810363548759427,0.9754676185699697,0.972692592430494,0.950892379976141,0.9485695096204463,0.9385617427008742,0.9314495411961616,0.9283284849538521,0.924597347237306,0.9237798379632018,0.9235048496947971
23,1.0,0.9978516487150898,0.9876873210398907,0.9822618591778,0.9768983471559424,0.9636881286053077,0.9612186455312102,0.9576213461672133,0.9529652755655722,0.9486533666822523,0.9480092020540307,0.946890495545269,0.9423990661999311,0.9407540302363696,0.9397050832639682,0.9386910387359653,0.9372151454446136,0.9367746158059681,0.997460256550106,0.9948082643054433,0.9942884280861556,0.9938192102748014,0.9851515760725502,0.9804597283757804,0.9781222809626102,0.9623121956694005,0.9604902272087988,0.9524490281777924,0.9466921980845565,0.9441903954940872,0.9412462508652373,0.9405993962965514,0.9403936544403643
